model,size,tiers_completed,avg_exact_match,avg_relaxed_em,avg_token_f1,avg_rouge_l,avg_meteor,avg_bertscore_f1,avg_num_exact,avg_num_f1,avg_abstain_rate,avg_nli,total_errors
llama3.2-3b,Small,4,0.0,0.1667,0.0773,0.0531,0.0788,0.8339,0.2334,0.2639,0.0,0.0104,0
llama3.1-8b,Small,4,0.0,0.15,0.0829,0.0587,0.0792,0.8348,0.2666,0.2606,0.0,0.0167,0
nemotron-nano-8b,Small,4,0.0,0.1333,0.1896,0.1289,0.2004,0.8414,0.3,0.3316,0.0,0.0144,0
phi4-mini,Small,2,0.0,0.0333,0.1131,0.0803,0.1514,0.8008,0.2,0.1744,0.0333,0.0213,1
gpt-oss-20b,Small,4,0.0,0.1667,0.1764,0.1387,0.1491,0.8072,0.2333,0.2727,0.0,0.0589,3
llama4-maverick,Medium,4,0.0,0.1167,0.1293,0.0785,0.1399,0.8377,0.2833,0.3216,0.0167,0.0376,0
gemma4-31b,Medium,4,0.0,0.1834,0.0667,0.0522,0.0495,0.7612,0.25,0.254,0.0,0.0104,5
nemotron-super-49b,Medium,4,0.0,0.05,0.1592,0.0918,0.1764,0.819,0.1667,0.2166,0.1333,0.0465,0
mistral-nemotron,Medium,4,0.0,0.1834,0.1248,0.0931,0.1195,0.8411,0.2667,0.2746,0.0,0.0096,0
llama3.3-70b,Large,4,0.0,0.1834,0.0848,0.0631,0.0783,0.8355,0.2666,0.2957,0.0,0.0083,0
nemotron-120b,Large,4,0.0167,0.2167,0.141,0.1065,0.1224,0.8367,0.2667,0.2679,0.0,0.0699,0
gpt-oss-120b,Large,4,0.0,0.2167,0.1849,0.1436,0.1629,0.8286,0.2667,0.2675,0.0,0.0638,1
mistral-small-119b,Large,4,0.0,0.1667,0.0797,0.061,0.0742,0.834,0.2666,0.2632,0.0,0.018,0
qwen3.5-122b,VeryLarge,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60
qwen3.5-397b,VeryLarge,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60
mistral-large-675b,VeryLarge,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60
